t,tau,beta,c,y0,dtau,dbeta,dc,dy0
201.0,3.944862488922334,0.7252120928429883,0.0272   66627330528072,1.0022243466504457,0.39068080713348,0.04927916832914833,0.0015160750955546776,3.70361596122797e-05
603.0,3.8300830149848117,0.7117787475229425,0.027439491897625002,1.0023490658809748,0.3443702057150248,0.04267887346830771,0.0013675959980413816,3.249161199699207e-05
1005.0,3.7370068877220812,0.6944515809973558,0.028319423908364973,1.0022771702602875,0.3351221104419254,0.040012797487973296,0.0013844151458017964,3.197373416285681e-05
